AnimalID,ADDMI_keep,ADG_keep,FCR,Gender,Management_Group,heterosis,mathet,perANS,perHHS,perARS,perSHS,perDSS,perBMS,perBRS,perBNS,perSGS,perBVS,perCHS,perCAS,perGVS,perLMS,perMAS,perSAS,perSMS,perTAS,perBVSo,perCHSo,perLMSo,perHH,perAN,perSM,perCH,perM2,perM3,perRS,perBV,perBR,perXB,perRO
20171004,8.836923077,1.095508673,8.066502161,Steer,201701_HI_ME01,0.25,0.5,0.875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171005,8.144615385,0.954746451,8.530657934,Steer,201701_MI_ME01,0.5,1,0.0625,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0.125,0,0,0,0,0,0,0
20171010,9.458461538,0.97528389,9.698162383,Steer,201701_MI_MD01,0.5,1,0,0,0,0,0,0,0,0,0,0,0.5,0,0.21875,0,0,0,0,0,0,0,0,0.03125,0,0,0.25,0,0,0,0,0,0,0
20171013,10.19076923,1.155451106,8.819732118,Steer,201701_HI_ME01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0
20171014,9.641538462,0.969179493,9.948145348,Steer,201701_HI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.875,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0
20171017,8.398461538,0.953763309,8.805603507,Steer,201701_MI_MD01,0.25,0.5,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0,0,0,0,0,0.125,0
20171024,10.67846154,1.512865589,7.058433753,Steer,201701_MI_ME01,0.25,0.5,0,0,0,0,0,0,0,0,0,0,0.75,0,0,0,0,0,0,0,0,0,0,0.125,0,0,0.125,0,0,0,0,0,0,0
20171033,9.484615385,1.347090488,7.040815351,Steer,201701_HI_ME01,0.681640625,0.89453125,0,0,0,0,0,0,0,0.75,0.1875,0,0,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0,0,0,0,0,0,0,0
20171038,10.00769231,1.050285951,9.528540586,Steer,201701_MI_MD01,0.5,1,0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.125,0,0.125,0,0,0,0,0,0,0,0
20171051,7.713846154,0.99775585,7.73119612,Steer,201701_HI_MD01,0.5,1,0,0,0,0,0,0,0,0,0,0,0.0625,0,0,0.75,0,0,0,0,0,0,0,0,0.125,0,0.0625,0,0,0,0,0,0,0
