contig length Sample340 Sample341 Sample342 Sample343 Sample344 Sample345 Sample346 Sample347 Sample348 Sample349 Sample34 Sample353 Sample354 Sample355 Sample356 Sample357 Sample358 Sample359 Sample35
k127_19630921_1 1143 1.07646303526407e-07 3.7398150811035e-07 1.34304115333142e-05 3.22187749326332e-07 1.22919361678145e-05 2.4029181212422e-07 9.00362029944978e-06 1.86161171304814e-06 8.38053792778228e-07 2.97701154660721e-07 1.62946619484085e-06 2.68749089567062e-06 1.29023918805952e-06 1.86198212652324e-06 2.44227316398714e-06 1.28151272587545e-05 2.28123552080805e-06 5.53124372220805e-06 1.08557870210382e-06
k127_19631256_1 990 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_6545784_2 726 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3.09148501770524e-08 0 0 0 0
k127_6545813_2 669 0 0 0 0 0 0 3.12625704842006e-08 0 0 0 0 3.63174445360895e-08 0 0 0 0 0 0 0
k127_6547020_3 996 1.79410505877345e-07 3.39983189191227e-08 6.4569286217857e-08 0 2.95221174336155e-07 1.31068261158666e-07 5.31463698231411e-07 1.22743629431746e-07 2.55059849975982e-07 2.67931039194649e-07 1.81051799426761e-07 1.81587222680447e-07 1.95490786069624e-07 0 6.18297003541049e-08 1.0090651384846e-07 1.21665894443096e-07 1.69670052828468e-07 9.86889729185287e-08
k127_32721093_2 1191 0 0 0 0 0 0 0 0 3.64371214251404e-08 0 7.24207197707044e-08 2.17904667216537e-07 1.17294471641774e-07 1.5516517721027e-07 1.2365940070821e-07 0 0 0 0
k127_32721786_1 1155 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.78680211313871e-08 0
k127_52354845_1 2364 0 0 0 0 0 0 6.25251409684013e-08 0 0 2.97701154660721e-08 0 1.45269778144358e-07 0 0 0 1.0090651384846e-07 0 0 0
k127_32722703_1 225 0 0 0 0 5.36765771520282e-08 0 0 0 0 0 3.62103598853522e-08 0 0 0 6.18297003541049e-08 0 0 0 9.86889729185287e-08
k127_6701_1 1518 0 0 0 2.14791832884222e-07 5.36765771520282e-08 0 1.25050281936803e-07 4.09145431439152e-08 1.09311364275421e-07 0 1.44841439541409e-07 7.2634889072179e-08 1.95490786069624e-07 0 2.16403951239367e-07 0 2.73748262496966e-07 3.39340105656935e-08 0
k127_39271526_3 522 3.15762490344127e-06 2.9918520648828e-06 1.06539322259464e-06 3.50826660377562e-06 3.70368382348994e-06 3.47330892070464e-06 3.15751961890426e-06 2.80264620535819e-06 4.3360174495917e-06 3.72126443325902e-06 8.58185529282847e-06 5.95606090391868e-06 4.49628807960135e-06 1.23356315882164e-05 5.37918393080712e-06 3.32991495699919e-06 3.83247567495752e-06 4.1738832995803e-06 5.29630821329437e-06
k127_85075871_1 1329 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_58903836_3 1026 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_170141733_1 1068 2.51174708228282e-07 3.39983189191227e-08 0 7.15972776280738e-08 1.07353154304056e-07 1.31068261158666e-07 6.25251409684013e-08 1.84115444147619e-07 1.82185607125702e-07 3.27471270126794e-07 1.08631079656057e-07 0 0 3.87912943025674e-08 0 0 0 0 0
k127_143968722_16 3264 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_12392_3 1131 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_32728718_1 828 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_58906999_17 2562 0 0 0 3.57986388140369e-08 0 0 0 0 3.64371214251404e-08 0 0 0 0 0 0 0 0 0 0
k127_58906999_19 1137 0 0 0 0 0 0 0 0 0 0 0 3.63174445360895e-08 0 0 0 0 0 0 0
k127_78538491_1 780 0 0 0 0 0 0 3.12625704842006e-08 0 0 0 0 0 0 3.87912943025674e-08 6.18297003541049e-08 0 0 0 0
k127_242117124_6 1731 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.72710092323069e-08 0 0 0
k127_39276681_1 2283 1.43528404701876e-07 6.79966378382454e-08 1.29138572435714e-07 1.78993194070185e-07 1.61029731456085e-07 3.05825942703553e-07 6.25251409684013e-08 1.22743629431746e-07 7.28742428502807e-08 0 2.89682879082818e-07 7.2634889072179e-08 2.34588943283548e-07 7.75825886051349e-08 3.40063351947577e-07 3.36355046161535e-08 1.82498841664644e-07 2.71472084525548e-07 4.27652215980291e-07
k127_6557649_5 2478 0 0 0 0 0 0 0 0 0 0 0 0 7.81963144278495e-08 0 3.09148501770524e-08 0 0 0 0
k127_45823641_2 678 3.2293891057922e-07 1.35993275676491e-07 0 1.43194555256148e-07 2.14706308608113e-07 1.96602391737999e-07 5.31463698231411e-07 8.18290862878305e-08 4.37245457101684e-07 1.19080461864289e-07 1.08631079656057e-07 2.54222111752627e-07 4.69177886567097e-07 2.71539060117972e-07 2.4731880141642e-07 3.36355046161535e-08 1.5208236805387e-07 1.01802031697081e-07 2.30274270143234e-07
k127_91629259_1 1221 4.30585214105627e-07 0 4.51985003524999e-07 1.78993194070185e-07 2.41544597184127e-07 3.27670652896664e-07 6.25251409684013e-07 2.86401802007407e-07 0 5.95402309321443e-08 4.34524318624226e-07 3.99491889896985e-07 5.08276043781022e-07 3.49121648723107e-07 5.25552453009891e-07 3.02719541545381e-07 1.82498841664644e-07 5.42944169051096e-07 1.64481621530881e-07
k127_85085139_1 1614 3.58821011754689e-08 6.79966378382454e-08 0 0 0 0 0 3.47773616723279e-07 0 0 0 7.2634889072179e-08 0 7.75825886051349e-08 0 0 0 0 0
k127_26190918_1 984 0 0 0 0 0 0 0 0 0 0 0 0 3.90981572139247e-08 0 0 0 0 0 0
k127_19648195_1 1473 5.38231517632034e-07 5.77971421625086e-07 1.51737822611964e-06 1.07395916442111e-07 1.95919506604903e-06 3.93204783475997e-07 5.43968726425091e-06 5.31889060870898e-07 9.47365157053649e-07 8.03793117583948e-07 9.05258997133805e-07 1.23479311422704e-06 1.95490786069624e-06 3.1033035442054e-07 8.96530655134521e-07 1.17724266156537e-06 1.15582599720941e-06 3.39340105656935e-07 6.80953913137848e-06
k127_91631989_1 1536 3.2293891057922e-07 4.07979827029473e-07 6.4569286217857e-07 3.93785026954406e-07 2.68382885760141e-08 2.62136522317331e-07 0 2.25029987291534e-07 7.28742428502807e-08 5.95402309321443e-08 3.62103598853522e-07 3.99491889896985e-07 4.69177886567097e-07 2.32747765815405e-07 2.16403951239367e-07 1.68177523080767e-07 2.73748262496966e-07 5.42944169051096e-07 3.61859567367938e-07
k127_32734118_2 1488 0 0 0 0 0 0 0 4.09145431439152e-08 0 0 0 0 0 0 0 0 6.08329472215479e-08 0 0
k127_32735449_1 858 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_45829200_3 462 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_85090116_1 1656 3.58821011754689e-08 6.79966378382454e-08 0 0 8.05148657280423e-08 2.1844710193111e-08 1.25050281936803e-07 8.18290862878305e-08 0 0 3.62103598853522e-08 1.81587222680447e-07 1.95490786069624e-07 1.5516517721027e-07 0 1.68177523080767e-07 0 2.71472084525548e-07 2.30274270143234e-07
k127_19651703_2 1269 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6.18297003541049e-08 0 3.0416473610774e-08 0 0
k127_58915879_2 1770 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_235586593_1 2457 1.14822723761501e-06 9.51952929735436e-07 7.10262148396427e-07 8.59167331536886e-07 4.02574328640211e-07 1.13592493004177e-06 2.50100563873605e-07 1.02286357859788e-06 9.8380227847879e-07 6.25172424787515e-07 5.79365758165635e-07 1.19847566969095e-06 8.2106130149242e-07 1.16373882907702e-06 4.32807902478734e-07 1.54723321234306e-06 5.17080051383157e-07 1.62883250715329e-06 9.5399340487911e-07
k127_22422_1 1215 3.58821011754689e-08 0 3.22846431089285e-08 0 1.07353154304056e-07 4.36894203862219e-08 1.56312852421003e-07 1.43200901003703e-07 0 5.95402309321443e-08 0 1.08952333608268e-07 1.56392628855699e-07 1.5516517721027e-07 9.27445505311573e-08 1.0090651384846e-07 1.82498841664644e-07 1.35736042262774e-07 9.86889729185287e-08
k127_45832132_2 2313 1.79410505877345e-07 6.79966378382454e-08 0 1.78993194070185e-07 5.36765771520282e-08 1.31068261158666e-07 3.75150845810408e-07 1.63658172575661e-07 3.64371214251404e-07 1.19080461864289e-07 2.53472519197465e-07 2.90539556288716e-07 3.12785257711398e-07 7.75825886051349e-08 6.18297003541049e-07 0 4.86663577772383e-07 2.37538073959855e-07 1.97377945837057e-07
k127_26196952_1 3402 0 0 0 0 0 0 0 4.09145431439152e-08 0 0 0 0 0 0 0 0 0 0 0
k127_39285786_5 402 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_215961743_1 3060 7.17642023509379e-08 0 6.4569286217857e-08 0 5.36765771520282e-08 8.73788407724438e-08 0 0 3.64371214251404e-08 1.19080461864289e-07 3.62103598853522e-07 7.2634889072179e-08 4.69177886567097e-07 4.26704237328242e-07 3.09148501770524e-07 2.35448532313074e-07 0 1.01802031697081e-07 1.31585297224705e-07
k127_117817735_1 636 0 0 0 7.15972776280738e-08 0 0 0 2.04572715719576e-08 0 0 0 0 0 0 0 6.72710092323069e-08 0 0 0
k127_26199975_3 747 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_19656628_1 3474 2.06680902770701e-05 1.00975007189794e-05 6.4569286217857e-08 1.71833466307377e-06 5.36765771520282e-08 1.10752680679073e-05 1.87575422905204e-07 1.30926538060529e-05 1.83278720768456e-05 1.75048278940504e-05 4.9246089444079e-06 2.48048146181491e-05 3.35462188895474e-05 6.32298097131849e-06 1.34170449768408e-05 3.08437577330127e-05 6.4178759318733e-06 3.17961679000548e-05 1.92114533948069e-05
k127_26723_2 1638 0 0 0 0 0 0 6.25251409684013e-08 2.04572715719576e-08 0 5.95402309321443e-08 0 1.08952333608268e-07 0 0 0 0 3.0416473610774e-08 3.39340105656935e-08 0
k127_26723_3 837 0 0 0 0 0 0 3.12625704842006e-08 0 0 0 0 0 0 0 0 0 0 0 0
k127_6570694_9 20166 3.2293891057922e-07 0 0 0 0 2.1844710193111e-08 0 4.09145431439152e-08 0 0 0 0 0 0 0 0 0 0 0
k127_72012641_5 1275 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_72012641_6 1098 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_58923340_2 948 0 0 0 0 0 0 6.25251409684013e-08 0 0 0 0 0 0 0 0 0 0 0 0
k127_6571745_1 228 0 0 0 0 0 0 0 0 0 0 0 3.63174445360895e-08 0 7.75825886051349e-08 3.09148501770524e-08 3.36355046161535e-08 3.0416473610774e-08 0 1.64481621530881e-07
k127_6571745_26 2067 0 0 0 0 0 4.36894203862219e-08 0 2.04572715719576e-08 0 0 1.08631079656057e-07 3.63174445360895e-08 0 7.37034591748781e-07 3.40063351947577e-07 1.68177523080767e-07 1.82498841664644e-07 3.73274116222629e-07 6.57926486123524e-07
k127_91647450_3 2019 3.58821011754689e-08 6.79966378382454e-08 0 0 0 0 6.25251409684013e-08 0 0 0 0 0 0 1.16373882907702e-07 6.18297003541049e-08 0 0 0 0
k127_72015476_1 1284 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_45840864_3 2073 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_229056851_37 1878 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_30843_1 4083 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_52384049_2 1071 0 0 0 0 0 0 6.25251409684013e-08 0 0 0 0 0 0 0 0 0 0 6.78680211313871e-08 0
k127_52384049_3 1107 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_52384049_4 1884 0 0 0 0 0 0 0 4.09145431439152e-08 7.28742428502807e-08 0 0 0 0 0 0 6.72710092323069e-08 6.08329472215479e-08 0 0
k127_52384049_5 1200 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_32749461_4 1944 0 0 0 0 0 0 3.12625704842006e-08 0 3.64371214251404e-08 0 0 7.2634889072179e-08 0 0 6.18297003541049e-08 0 0 0 0
k127_117831689_4 1548 4.66467315281096e-07 9.17954610816314e-07 7.10262148396427e-07 7.15972776280738e-07 2.84485858905749e-06 7.86409566951994e-07 2.81363134357806e-06 3.31407799465713e-06 1.96760455695758e-06 1.72666669703218e-06 1.30357295587268e-06 1.41638033690749e-06 1.25114103084559e-06 2.83176448408742e-06 8.34700954780416e-07 2.92628890160535e-06 5.77912998604705e-07 1.73063453885037e-06 2.26984637712616e-06
k127_52385843_1 1188 2.11704396935267e-06 1.59792098919877e-06 6.77977505287498e-07 2.54170335579662e-06 1.26139956307266e-06 2.46845225182154e-06 1.31302796033643e-06 2.20938532977142e-06 9.8380227847879e-07 4.1678161652501e-07 1.12252115644592e-06 1.67060244866012e-06 2.46318390447726e-06 1.39648659489243e-06 2.10220981203957e-06 2.75811137852458e-06 1.64248957498179e-06 2.17177667620439e-06 2.79618756602498e-06
k127_45845232_4 450 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_19665551_15 1176 0 0 0 0 0 0 0 2.04572715719576e-08 0 0 0 0 0 0 0 0 0 0 0
k127_85109797_1 1707 0 0 0 0 0 0 3.12625704842006e-08 0 0 8.93103463982164e-08 0 3.63174445360895e-08 0 0 0 0 0 0 0
