contig length Sample90 Sample91 Sample92 Sample93 Sample94 Sample95 Sample96 Sample97 Sample98 Sample99 Sample9
k127_19630921_1 1143 2.81436184199032e-06 4.76982637189914e-06 3.16679256183763e-06 0 0 0 0 0 0 1.02846704210513e-07 4.31446867857532e-06
k127_19631256_1 990 0 0 0 1.01606101188974e-07 1.33548251034596e-05 7.86540353145876e-06 3.93606084526238e-06 1.73036280726721e-06 7.5172722485136e-08 6.9935758863149e-06 0
k127_6545784_2 726 0 0 0 1.15830955355431e-05 6.55725345696857e-06 7.90377135356343e-06 9.28316237090185e-06 3.19854943161514e-06 6.59014200453026e-06 2.21120414052603e-06 0
k127_6545813_2 669 0 0 0 1.66972692953881e-05 9.92170811028229e-06 2.11023021575723e-05 1.83063961954184e-05 7.44580359490738e-06 1.5485580831938e-05 5.14233521052566e-06 0
k127_6547020_3 996 3.65501537920821e-08 2.14030670533936e-07 7.27998290077616e-08 5.11417375984504e-06 5.25266899956121e-06 3.6449430999443e-06 4.45591793803289e-07 1.78279804385106e-06 3.7586361242568e-06 5.14233521052566e-07 0
k127_32721093_2 1191 7.31003075841642e-08 3.05758100762766e-08 0 0 0 0 0 0 0 0 3.47941022465752e-08
k127_32721786_1 1155 0 0 0 1.93390279263014e-05 2.82545528538489e-05 2.39031531712137e-05 2.08685490097873e-05 3.14611419503129e-06 1.60368474634957e-05 1.41928451810508e-05 0
k127_52354845_1 2364 0 0 0 0.000102791505702846 7.127150877836e-05 0.000170429865788975 0.000191715869283865 6.25552372445388e-05 0.000112082529225338 5.56914903299929e-05 0
k127_32722703_1 225 0 3.05758100762766e-08 0 5.65607296618623e-06 1.35608121230502e-05 8.01887481987746e-06 1.86405900407709e-05 1.41575138776408e-06 4.61059364575501e-06 9.92470695631453e-06 0
k127_6701_1 1518 7.31003075841642e-08 9.17274302288297e-08 3.63999145038808e-08 1.01606101188974e-07 2.05987019590636e-07 0 2.22795896901644e-07 5.24352365838548e-08 4.25978760749104e-07 1.02846704210513e-07 8.00264351671229e-07
k127_39271526_3 522 6.57902768257478e-06 6.05401039510276e-06 4.11319033893853e-06 8.02688199392897e-06 5.87063005833312e-06 9.7837946366926e-06 7.12946870085262e-06 1.15357520484481e-05 1.10253326311533e-05 6.89072918210439e-06 5.84540917742463e-06
k127_85075871_1 1329 0 0 0 1.28701061506034e-06 1.20159094761204e-06 2.68574754732738e-07 2.85921401023777e-06 4.19481892670839e-07 1.82920291380498e-06 4.62810168947309e-07 0
k127_58903836_3 1026 0 0 0 0 0 0 0 3.67046656086984e-07 2.5057574161712e-08 0 0
k127_170141733_1 1068 0 0 0 0 0 0 0 0 0 0 0
k127_143968722_16 3264 0 0 0 2.37080902774273e-07 5.56164952894717e-06 3.06942576837415e-07 0 5.24352365838548e-08 5.0115148323424e-08 1.02846704210513e-07 0
k127_12392_3 1131 0 0 0 3.04818303566923e-07 3.67343518269967e-06 8.36418521881956e-06 3.78753024732795e-06 1.6254923340995e-06 1.75403019131984e-07 1.04389404773671e-05 0
k127_32728718_1 828 0 0 0 3.72555704359572e-07 1.37324679727091e-07 6.1388515367483e-07 2.22795896901644e-07 4.19481892670839e-07 2.75633315778832e-07 4.11386816842053e-07 0
k127_58906999_17 2562 7.31003075841642e-08 0 0 4.5993695138209e-05 4.87502613031171e-06 2.16010838449331e-05 1.70810187624594e-05 1.45769957703116e-05 4.66070879407843e-06 5.75941543578874e-06 0
k127_58906999_19 1137 0 0 0 2.75691221226084e-05 1.58266693385472e-05 1.96826927396992e-05 2.08314163603037e-05 1.52062186093179e-05 7.64256011932216e-06 5.55372202736771e-06 0
k127_78538491_1 780 3.65501537920821e-08 0 0 0 0 0 0 0 0 0 0
k127_242117124_6 1731 0 0 0 0 0 0 1.85663247418037e-07 6.29222839006258e-07 2.5057574161712e-08 1.02846704210513e-07 0
k127_39276681_1 2283 3.65501537920821e-07 2.44606480610212e-07 2.18399487023285e-07 1.35474801585299e-07 0 0 0 0 3.00690889940544e-07 0 2.78352817972601e-07
k127_6557649_5 2478 0 0 0 3.6916883431994e-06 1.37324679727091e-07 5.94701242622491e-06 3.26767315455745e-06 5.24352365838548e-06 2.10483622958381e-06 1.5427005631577e-07 0
k127_45823641_2 678 3.65501537920821e-08 2.44606480610212e-07 2.54799401527166e-07 0 6.86623398635453e-08 7.67356442093537e-08 0 0 1.2528787080856e-07 0 3.47941022465752e-07
k127_91629259_1 1221 7.31003075841642e-07 2.75182290686489e-07 4.00399059542689e-07 3.38687003963248e-08 0 0 0 0 1.60368474634957e-06 0 2.78352817972601e-07
k127_85085139_1 1614 0 0 0 0 0 0 0 0 0 0 0
k127_26190918_1 984 0 0 0 0 3.08980529385954e-07 0 0 1.0487047316771e-07 0 0 0
k127_19648195_1 1473 1.64475692064369e-06 8.56122682135744e-07 1.23759709313195e-06 3.38687003963248e-07 2.40318189522408e-06 1.53471288418707e-07 2.59928546385252e-07 3.14611419503129e-07 2.25518167455408e-07 1.02846704210513e-07 1.70491101008218e-06
k127_91631989_1 1536 7.31003075841642e-08 2.32376156579702e-06 8.37198033589259e-07 1.35474801585299e-07 1.71655849658863e-07 0 0 3.14611419503129e-07 1.00230296646848e-07 0 4.17529226958902e-07
k127_32734118_2 1488 0 0 0 2.74336473210231e-06 8.52442949405915e-05 0.000112954868276169 6.12317389984686e-05 2.57457011626727e-05 2.02966350709867e-06 0.00010516075505525 0
k127_32735449_1 858 0 0 0 1.28701061506034e-06 4.36005858133512e-06 9.51521988195986e-06 0.000120346916976372 2.09740946335419e-07 2.49322862909035e-05 2.87970771789437e-06 0
k127_45829200_3 462 0 0 0 0 4.11974039181272e-07 8.82459908407568e-07 3.71326494836074e-07 1.0487047316771e-07 2.5057574161712e-08 8.22773633684106e-07 0
k127_85090116_1 1656 3.65501537920821e-08 6.11516201525531e-08 1.09199743511642e-07 0 0 0 0 0 0 0 0
k127_19651703_2 1269 0 6.11516201525531e-08 0 4.50453715271119e-06 6.80787099747051e-05 7.18245629799551e-05 4.51533017720666e-05 1.48391719532309e-05 1.4533393013793e-06 8.0169005932095e-05 0
