contig length Sample490 Sample491 Sample492 Sample493 Sample494 Sample495 Sample496 Sample497 Sample498 Sample499 Sample49 Sample500 Sample501 Sample502 Sample503 Sample504 Sample505 Sample507 Sample508 Sample509 Sample50
k127_19630921_1 1143 3.41862834144068e-06 2.7870498166801e-06 8.80169625269696e-05 5.40126940754993e-06 8.89781913563204e-07 1.92208587703848e-06 4.34155656745928e-05 8.10605053581193e-05 2.89117391407672e-05 5.45617205517208e-06 1.07394724620774e-07 0 2.35101900748456e-05 1.8634575897463e-05 2.37321520154451e-05 4.72978496505635e-06 6.61246908646984e-05 9.47392235452297e-05 2.05492287598786e-06 2.73901874269568e-06 4.9262101443044e-07
k127_19631256_1 990 1.15494200724347e-07 3.39884123985378e-08 0 0 0 0 0 0 0 0 0 0 0 0 3.97523484345813e-08 0 0 0 3.34133800973636e-08 0 0
k127_6545784_2 726 4.61976802897389e-08 3.39884123985378e-08 0 0 5.93187942375469e-08 0 2.96351984126914e-08 0 0 0 0 0 0 0 0 0 1.42305647485004e-07 0 0 5.11966120130034e-08 0
k127_6545813_2 669 2.30988401448695e-08 3.39884123985378e-08 2.12601358760796e-08 9.10326304643247e-08 1.48296985593867e-07 4.08954441923081e-08 1.18540793650765e-07 0 0 0 0 4.06984411425317e-08 0 0 5.9628522651872e-08 0 1.42305647485004e-07 0 0 1.02393224026007e-07 0
k127_6547020_3 996 2.07889561303825e-07 7.47745072767831e-07 2.55121630512955e-07 3.94474732012074e-07 2.96593971187735e-07 3.68058997730773e-07 5.63068769841136e-07 4.47985599154482e-07 4.38056653647988e-07 3.23328714380568e-07 3.93780656942838e-07 4.06984411425317e-08 4.81202720830173e-07 3.22876315055051e-07 3.97523484345813e-07 4.39979996749428e-07 4.98069766197513e-07 1.75877271432976e-07 4.51080631314408e-07 3.58376284091024e-07 9.23664402057074e-08
k127_32721093_2 1191 1.38593040869217e-07 3.39884123985378e-08 2.33861494636876e-07 0 1.18637588475094e-07 2.24924943057695e-07 2.66716785714222e-07 1.24440444209578e-07 2.40931159506393e-07 1.61664357190284e-07 0 2.03492205712658e-07 9.16576611105091e-08 4.61251878650074e-08 3.18018787476651e-07 6.59969995124142e-08 1.42305647485004e-07 1.95419190481084e-08 6.68267601947272e-08 2.55983060065017e-08 2.77099320617122e-07
k127_32721786_1 1155 4.61976802897389e-08 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
k127_52354845_1 2364 6.23668683911475e-07 6.79768247970756e-07 1.70081087008637e-07 1.82065260928649e-07 6.8216613373179e-07 2.65820387250003e-07 2.37081587301531e-07 2.48880888419157e-08 1.75222661459195e-07 0 0 4.06984411425317e-08 0 0 3.57771135911232e-07 2.63987998049657e-07 5.92940197854183e-07 3.90838380962169e-08 5.01200701460454e-08 0 0
k127_32722703_1 225 0 6.79768247970756e-08 1.27560815256478e-07 0 0 0 1.18540793650765e-07 0 0 0 0 1.35661470475106e-08 0 0 0 0 0 0 0 0 0
k127_6701_1 1518 0 0 4.25202717521592e-08 0 1.18637588475094e-07 6.13431662884622e-08 0 0 0 0 0 0 0 9.22503757300147e-08 0 0 0 0 0 0 6.1577626803805e-08
